color1	color2	Lot_Name	Species	LOT	MOM	seed_zone 	elevation_cat	elevation_band	metal_tag	Genotype	Plant_Yr	Mort_Yr	Height_17	Height_18	Height_19	BD_19	%_alive_needles_19	Height_20	BD_20	%_alive_needles_20	Tissue_collected	Height_21	BD_21	alive_needles_21	num_needles
brown	black	PILA60_7	PILA	8633	19178	532	-99	6000	1310	1	2019	-99	-99	-99	-99	-99	-99	17.8	8.4	100	3	46.4	11.1	100	3
brown	black	PILA60_7	PILA	8633	19178	532	-99	6000	1329	0	2019	-99	-99	-99	-99	-99	-99	17	6.1	50	2	25	8	100	5
brown	black	PILA60_7	PILA	8633	19178	532	-99	6000	3189	0	2019	-99	-99	-99	-99	-99	-99	19.9	8.2	100	3	33.4	7.1	100	5
brown	black	PILA60_7	PILA	8633	19178	532	-99	6000	3469	0	2019	-99	-99	-99	-99	-99	-99	21	6.1	100	3	29.6	7.6	75	5
brown	black	PILA60_7	PILA	8633	19178	532	-99	6000	3823	0	2019	-99	-99	-99	-99	-99	-99	15	5.6	90	2	21.4	9.3	100	5
brown	black	PILA60_7	PILA 	8633	19178	532	-99	6000	1843	0	2019	-99	-99	-99	-99	-99	-99	13.5	6.2	80	3	18	6.6	95	5
brown	blue	PILA60_8	PILA	5907	19192	532	-99	6000	3447	0	2019	2019	-99	-99	-99	-99	-99	-99	-99	0	-99	-99	-99	-99	-99
brown	blue	PILA60_8	PILA	5907	19192	532	-99	6000	3879	0	2019	2019	-99	-99	-99	-99	-99	-99	-99	0	-99	-99	-99	-99	-99
brown	blue	PILA60_8	PILA	5907	19192	532	-99	6000	1326	1	2019	-99	-99	-99	-99	-99	-99	17	6.8	100	3	-99	-99	-99	-99
brown	blue	PILA60_8	PILA	5907	19192	532	-99	6000	1504	1	2019	-99	-99	-99	-99	-99	-99	16	6.2	100	3	-99	-99	-99	-99
brown	blue	PILA60_8	PILA	5907	19192	532	-99	6000	1778	0	2019	-99	-99	-99	-99	-99	-99	18.8	6.9	100	3	21	7.4	100	5
