Ziptie	Lot_Name	Species	seed_zone	elevation_cat	elevation_band	lot	tree_num	metal_tag	Genotype	Plant_Yr	Mort_Yr	Height_17	BD_17	%_alive_needles_17	Height_18	BD_18	%_alive_needles_18	Height_19	BD_19	%_alive_needles_19	Height_20	BD_20	%_alive_needles_20	Needles?	Height_21	BD_21	alive_needles_21	num_needles
clear	PILA60_3	PILA	533	-99	6000	-99	2	-99	0	2017	2018	18.5	4.2	75	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
clear	PILA60_3	PILA	533	-99	6000	-99	4	-99	0	2017	2017	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
clear	PILA60_3	PILA	533	-99	6000	-99	11	-99	0	2017	2018	13	4.6	100	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
clear	PILA60_3	PILA	533	-99	6000	-99	9	-99	0	2017	2019	10	2.9	-99	9	5.13	100	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
clear	PILA60_3	PILA	533	-99	6000	-99	3	120	0	2017	2020	14.5	4.8	100	-99	-99	-99	19	9.21	100	-99	-99	-99	0	-99	-99	-99	-99
clear	PILA60_3	PILA	533	-99	6000	-99	10	220	0	2017	2020	15.5	4.2	100	-99	-99	-99	33.5	10.8	100	-99	-99	-99	0	-99	-99	-99	-99
clear	PILA60_3	PILA	533	-99	6000	-99	-99	647	0	2017	2020	-99	-99	-99	-99	-99	-99	15.5	5.6	100	-99	-99	-99	0	-99	-99	-99	-99
clear	PILA60_3	PILA	533	-99	6000	-99	13	664	0	2017	2020	17	3.9	75	20	6.88	100	21	6.22	75	-99	-99	-99	0	-99	-99	-99	-99
clear	PILA60_3	PILA	533	-99	6000	-99	18	219/360	1	2017	2020	15	3.6	-99	-99	-99	-99	16	3.35	100	-99	-99	-99	0	-99	-99	-99	-99
clear	PILA60_3	PILA	533	-99	6000	-99	1	445	1	2017	2021	15	3.7	75	14	5.24	100	14	7.22	100	25	8.5	100	3	25	7.1	0	5
clear	PILA60_3	PILA	533	-99	6000	-99	12	616	0	2017	-99	13	4.6	75	17	6.59	100	-99	-99	-99	-99	-99	-99	-99	46.8	9.6	100	5
DkBlue	PILA60_2	PILA	532	-99	6000	-99	39	-99	0	2017	2017	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
DkBlue	PILA60_2	PILA	532	-99	6000	-99	41	-99	0	2017	2017	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
DkBlue	PILA60_2	PILA	532	-99	6000	-99	42	-99	0	2017	2017	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
DkBlue	PILA60_2	PILA	532	-99	6000	-99	43	-99	0	2017	2017	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
DkBlue	PILA60_2	PILA	532	-99	6000	-99	44	-99	0	2017	2017	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
DkBlue	PILA60_2	PILA	532	-99	6000	-99	19	557	0	2017	2017	12.5	3.1	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
DkBlue	PILA60_2	PILA	532	-99	6000	-99	1	-99	0	2017	2017	5	2.8	0	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
DkBlue	PILA60_2	PILA	532	-99	6000	-99	5	-99	0	2017	2017	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
DkBlue	PILA60_2	PILA	532	-99	6000	-99	6	-99	0	2017	2017	13	2.4	0	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
DkBlue	PILA60_2	PILA	532	-99	6000	-99	10	-99	0	2017	2017	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
DkBlue	PILA60_2	PILA	532	-99	6000	-99	11	-99	0	2017	2017	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
DkBlue	PILA60_2	PILA	532	-99	6000	-99	12	-99	0	2017	2017	28	3.6	0	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
DkBlue	PILA60_2	PILA	532	-99	6000	-99	14	-99	0	2017	2017	12.5	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
DkBlue	PILA60_2	PILA	532	-99	6000	-99	15	-99	0	2017	2017	9.5	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
DkBlue	PILA60_2	PILA	532	-99	6000	-99	21	-99	0	2017	2017	12.5	2.1	0	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
DkBlue	PILA60_2	PILA	532	-99	6000	-99	23	-99	0	2017	2017	14	2.9	0	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
DkBlue	PILA60_2	PILA	532	-99	6000	-99	24	-99	0	2017	2017	13	2.2	0	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
DkBlue	PILA60_2	PILA	532	-99	6000	-99	26	-99	0	2017	2017	8	2.1	0	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
DkBlue	PILA60_2	PILA	532	-99	6000	-99	27	-99	0	2017	2017	13	2.9	0	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
DkBlue	PILA60_2	PILA	532	-99	6000	-99	32	-99	0	2017	2017	10.5	3.8	0	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
DkBlue	PILA60_2	PILA	532	-99	6000	-99	35	-99	0	2017	2018	16	3.8	100	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
DkBlue	PILA60_2	PILA	532	-99	6000	-99	3	469	0	2017	2020	10.5	3.9	100	16	5.44	100	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
