TAG_COLOR	Lot_Name	Species	lot	MOM	seed_zone	elevation_cat	elevation_band	tree_num	metal_tag	Genotype	Plant_Yr	Mort_Yr	Height_17	Height_18	BD_18	%_alive_needles_18	Height_19	BD_19	%_alive_needles_19	Height_20	BD_20	%_alive_needles_20	Tissue_collected	Height_21	BD_21	alive_needles_21	num_needles
clear/black 	PILA50_1	PILA	5942	19531	526	-99	5000	16	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
clear/black 	PILA50_1	PILA	5942	19531	526	-99	5000	17	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
clear/black 	PILA50_1	PILA	5942	19531	526	-99	5000	18	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
clear/black 	PILA50_1	PILA	5942	19531	526	-99	5000	19	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
clear/black 	PILA50_1	PILA	5942	19531	526	-99	5000	20	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
clear/black 	PILA50_1	PILA	5942	19531	526	-99	5000	21	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
clear/black 	PILA50_1	PILA	5942	19531	526	-99	5000	6	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
clear/black 	PILA50_1	PILA	5942	19531	526	-99	5000	10	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
clear/black 	PILA50_1	PILA	5942	19531	526	-99	5000	12	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
clear/black 	PILA50_1	PILA	5942	19531	526	-99	5000	13	-99	0	2018	2018	-99	12	2.75	0	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
clear/black 	PILA50_1	PILA	5942	19531	526	-99	5000	11	-99	0	2018	2019	-99	12	3.15	100	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
clear/black 	PILA50_1	PILA	5942	19531	526	-99	5000	7	2275	0	2018	2021	-99	13	3.06	100	10	2.9	100	-99	-99	-99	-99	-99	-99	-99	-99
clear/black 	PILA50_1	PILA	5942	19531	526	-99	5000	1	2671	0	2018	2021	-99	11	2.91	100	9	3.17	100	-99	-99	-99	-99	-99	-99	-99	-99
